Organism,Tudortblastn,PWWPtblastn,MutS,Tudor_domain,Tudor_dist,PWWP_domain,PWWP_dist,Tudor_call,PWWP_call,tipcolor,Genus
Coniella lustricola,Inf,55426,1,0,Inf,0,Inf,Absent,Absent,None,Coniella
Coniferiporia weirii,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coniferiporia
Coniochaeta hoffmannii,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coniochaeta
Coniochaeta ligniaria NRRL 30616,557816,78730,1,0,Inf,0,962293,Absent,Absent,None,Coniochaeta
Coniochaeta pulveracea,Inf,52724,1,0,Inf,0,Inf,Absent,Absent,None,Coniochaeta
Coniochaeta sp. 2T2.1,117122,380054,2,0,115985,0,1841558,Absent,Absent,None,Coniochaeta
Coniochaeta sp. PMI_546,279125,1633427,1,0,Inf,0,1632950,Absent,Absent,None,Coniochaeta
Coniophora puteana RWD-64-598 SS2,445860,151871,2,0,Inf,0,Inf,Absent,Absent,None,Coniophora
Coniosporium apollinis,Inf,10641,1,0,Inf,0,Inf,Absent,Absent,None,Coniosporium
Coniosporium apollinis CBS 100218,Inf,156026,1,0,Inf,0,Inf,Absent,Absent,None,Coniosporium
Contarinia nasturtii,Inf,1330714,1,0,Inf,0,1772425,Absent,Absent,None,Contarinia
Copidosoma floridanum,Inf,Inf,4,0,Inf,0,Inf,Absent,Absent,None,Copidosoma
Coprinellus micaceus,Inf,115757,1,0,Inf,0,Inf,Absent,Absent,None,Coprinellus
Coprinopsis cinerea AmutBmut pab1-1,124293,525171,1,0,Inf,0,523437,Absent,Absent,None,Coprinopsis
Coprinopsis cinerea okayama7#130,116578,371846,2,0,Inf,0,531623,Absent,Absent,None,Coprinopsis
Coprinopsis marcescibilis,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coprinopsis
Coprinopsis sp. MPI-PUGE-AT-0042,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coprinopsis
Copsychus sechellarum,Inf,4021,1,0,Inf,2,11818,Absent,Present,PWWP,Copsychus
Coptis chinensis,3772,3335369,1,2,189,0,25612496,Present,Absent,Tudor,Coptis
Coptotermes formosanus,Inf,9421,1,0,Inf,2,31955,Absent,Present,PWWP,Coptotermes
Corchorus capsularis,1411,Inf,1,2,300,0,Inf,Present,Absent,Tudor,Corchorus
Corchorus olitorius,1411,Inf,1,2,300,0,Inf,Present,Absent,Tudor,Corchorus
Cordyceps fumosorosea ARSEF 2679,1632613,188948,2,0,2466063,0,Inf,Absent,Absent,None,Cordyceps
Cordyceps javanica,606971,583604,2,0,Inf,0,Inf,Absent,Absent,None,Cordyceps
Cordyceps militaris,604058,579554,1,0,Inf,0,Inf,Absent,Absent,None,Cordyceps
Cordyceps militaris CM01,996196,40744,2,0,Inf,0,991989,Absent,Absent,None,Cordyceps
Cordyceps sp. RAO-2017,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Cordyceps
Coregonus clupeaformis,Inf,1365,2,0,Inf,4,2360,Absent,Present,PWWP,Coregonus
Coregonus sp. 'balchen',Inf,1383,2,0,Inf,2,2360,Absent,Present,PWWP,Coregonus
Corvus brachyrhynchos,Inf,4512,1,0,Inf,2,12883,Absent,Present,PWWP,Corvus
Corvus hawaiiensis,Inf,4147,2,0,Inf,4,0,Absent,Present,PWWP,Corvus
Corvus kubaryi,Inf,4142,2,0,Inf,4,0,Absent,Present,PWWP,Corvus
Corvus moneduloides,Inf,4144,1,0,Inf,2,21,Absent,Present,PWWP,Corvus
Corymbia citriodora subsp. variegata,1610,6842228,1,2,9974,0,6841487,Present,Absent,Tudor,Corymbia
Corynespora cassiicola Philippines,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Corynespora
Coryphaenoides rupestris,Inf,1284,1,0,Inf,2,6568,Absent,Present,PWWP,Coryphaenoides
Corythaeola cristata,Inf,4995,1,0,Inf,2,12895,Absent,Present,PWWP,Corythaeola
Corythaixoides concolor,Inf,4930,1,0,Inf,2,12767,Absent,Present,PWWP,Corythaixoides
Corythoichthys intestinalis,Inf,806,1,0,Inf,2,10400,Absent,Present,PWWP,Corythoichthys
Cotesia glomerata,Inf,4474273,9,0,Inf,0,4473696,Absent,Absent,None,Cotesia
Cottoperca gobio,3101508,1136,1,0,Inf,2,739,Absent,Present,PWWP,Cottoperca
Crassisporium funariophilum,82879,35608,1,0,Inf,0,Inf,Absent,Absent,None,Crassisporium
Crassostrea angulata,Inf,2937,1,0,Inf,2,14292,Absent,Present,PWWP,Crassostrea
Crassostrea virginica,Inf,3814,1,0,Inf,2,1624,Absent,Present,PWWP,Crassostrea
Crepidotus variabilis,329841,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Crepidotus
Cricetulus griseus,Inf,5166,6,0,Inf,12,0,Absent,Present,PWWP,Cricetulus
Crocodylus porosus,Inf,13253,1,0,Inf,2,27846,Absent,Present,PWWP,Crocodylus
Cronartium quercuum f. sp. fusiforme G11,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Cronartium
Crotalus tigris,Inf,9640,5,0,Inf,4,0,Absent,Present,PWWP,Crotalus
Crotophaga sulcirostris,Inf,4959,1,0,Inf,2,21,Absent,Present,PWWP,Crotophaga
Crucibulum laeve,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Crucibulum
Cryomyces minteri,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Cryomyces
Cryptococcus amylolentus CBS 6039,164967,247945,2,0,Inf,0,Inf,Absent,Absent,None,Cryptococcus
Cryptococcus amylolentus CBS 6273,165140,248501,1,0,Inf,0,Inf,Absent,Absent,None,Cryptococcus
Cryptococcus cf. gattii,19335,80136,1,0,573440,0,Inf,Absent,Absent,None,Cryptococcus
Cryptococcus depauperatus CBS 7841,Inf,77471,1,0,Inf,0,Inf,Absent,Absent,None,Cryptococcus
Cryptococcus depauperatus CBS 7855,122936,78278,1,0,Inf,0,415750,Absent,Absent,None,Cryptococcus
Cryptococcus floricola,100163,21589,1,0,Inf,0,Inf,Absent,Absent,None,Cryptococcus
Cryptococcus gattii NT-10,57037,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Cryptococcus
Cryptococcus gattii VGII 2001/935-1,19600,73279,1,0,546560,0,683206,Absent,Absent,None,Cryptococcus
Cryptococcus gattii VGII 99/473,19601,73240,1,0,550938,0,687562,Absent,Absent,None,Cryptococcus
Cryptococcus gattii VGII CA1014,19600,73280,1,0,546603,0,683275,Absent,Absent,None,Cryptococcus
Cryptococcus gattii VGII CBS 10090,19593,73285,1,0,546474,0,683106,Absent,Absent,None,Cryptococcus
Cryptococcus gattii VGII LA55,19593,73285,1,0,550868,0,687500,Absent,Absent,None,Cryptococcus
Cryptococcus gattii VGII MMRL2647,19612,73273,1,0,547336,0,683852,Absent,Absent,None,Cryptococcus
Cryptococcus gattii VGII R265,19600,73280,1,0,550763,0,687433,Absent,Absent,None,Cryptococcus
Cryptococcus gattii VGII Ram5,19601,73240,1,0,546711,0,683335,Absent,Absent,None,Cryptococcus
Cryptococcus gattii VGIV IND107,19597,124198,1,0,Inf,0,Inf,Absent,Absent,None,Cryptococcus
Cryptococcus neoformans,33807,303590,1,0,Inf,0,671382,Absent,Absent,None,Cryptococcus
Cryptococcus neoformans var. grubii,33823,40589,14,0,Inf,0,1048473,Absent,Absent,None,Cryptococcus
Cryptococcus neoformans var. grubii 125.91,33819,605880,1,0,Inf,0,857591,Absent,Absent,None,Cryptococcus
Cryptococcus neoformans var. grubii A1-35-8,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Cryptococcus
Cryptococcus neoformans var. grubii A2-102-5,33831,199281,1,0,Inf,0,446631,Absent,Absent,None,Cryptococcus
Cryptococcus neoformans var. grubii A5-35-17,33938,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Cryptococcus
Cryptococcus neoformans var. grubii AD1-7a,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Cryptococcus
Cryptococcus neoformans var. grubii AD1-83a,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Cryptococcus
Cryptococcus neoformans var. grubii AD2-60a,33834,642999,1,0,Inf,0,Inf,Absent,Absent,None,Cryptococcus
Cryptococcus neoformans var. grubii Br795,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Cryptococcus
Cryptococcus neoformans var. grubii Bt1,24107,199104,1,0,Inf,0,Inf,Absent,Absent,None,Cryptococcus
Cryptococcus neoformans var. grubii Bt120,33827,205308,1,0,Inf,0,457340,Absent,Absent,None,Cryptococcus
Cryptococcus neoformans var. grubii Bt15,33827,316966,1,0,585235,0,651110,Absent,Absent,None,Cryptococcus
Cryptococcus neoformans var. grubii Bt63,33847,58462,1,0,Inf,0,Inf,Absent,Absent,None,Cryptococcus
Cryptococcus neoformans var. grubii Bt85,33845,572199,1,0,Inf,0,Inf,Absent,Absent,None,Cryptococcus
Cryptococcus neoformans var. grubii C23,33831,199148,1,0,Inf,0,454894,Absent,Absent,None,Cryptococcus
Cryptococcus neoformans var. grubii CHC193,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Cryptococcus
Cryptococcus neoformans var. grubii D17-1,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Cryptococcus
Cryptococcus neoformans var. grubii Gb118,33819,199012,1,0,Inf,0,450730,Absent,Absent,None,Cryptococcus
Cryptococcus neoformans var. grubii H99,33831,102112,2,0,Inf,0,Inf,Absent,Absent,None,Cryptococcus
Cryptococcus neoformans var. grubii MW-RSA1955,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Cryptococcus
Cryptococcus neoformans var. grubii MW-RSA36,219594,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Cryptococcus
Cryptococcus neoformans var. grubii MW-RSA852,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Cryptococcus
Cryptococcus neoformans var. grubii Th84,33831,181267,1,0,Inf,0,203372,Absent,Absent,None,Cryptococcus
Cryptococcus neoformans var. grubii Tu259-1,33831,199092,1,0,Inf,0,450681,Absent,Absent,None,Cryptococcus
Cryptococcus neoformans var. grubii Tu401-1,33844,58466,1,0,Inf,0,Inf,Absent,Absent,None,Cryptococcus
Cryptococcus neoformans var. grubii Ze90-1,33816,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Cryptococcus
Cryptococcus neoformans var. grubii c45,Inf,293966,1,0,Inf,0,Inf,Absent,Absent,None,Cryptococcus
Cryptococcus neoformans var. grubii c8,34056,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Cryptococcus
Cryptococcus neoformans var. neoformans B-3501A,68378,307414,2,0,720964,0,Inf,Absent,Absent,None,Cryptococcus
Cryptococcus neoformans var. neoformans JEC21,68978,307705,2,0,Inf,0,Inf,Absent,Absent,None,Cryptococcus
Cryptococcus wingfieldii CBS 7118,231258,151490,2,0,674794,0,Inf,Absent,Absent,None,Cryptococcus
Cryptophyta sp. CCMP2293,Inf,Inf,3,0,Inf,0,Inf,Absent,Absent,None,Cryptophyta
Cryptosporidium muris RN66,384965,36565,1,0,Inf,0,203971,Absent,Absent,None,Cryptosporidium
Cryptosporidium ubiquitum,12213,Inf,2,0,13059,0,Inf,Absent,Absent,None,Cryptosporidium
Cryptotermes secundus,Inf,6783,2,0,Inf,4,0,Absent,Present,PWWP,Cryptotermes
Crypturellus soui,Inf,2941,1,0,Inf,2,24,Absent,Present,PWWP,Crypturellus
Crypturellus undulatus,Inf,2900,1,0,Inf,2,10707,Absent,Present,PWWP,Crypturellus
Ctenocephalides felis,Inf,5533911,1,0,Inf,0,Inf,Absent,Absent,None,Ctenocephalides
Cubamyces lactineus,140482,306611,1,0,140138,0,Inf,Absent,Absent,None,Cubamyces
Cubamyces menziesii,56696,118179,1,0,Inf,0,167842,Absent,Absent,None,Cubamyces
Cuculus canorus,Inf,4993,3,0,Inf,6,0,Absent,Present,PWWP,Cuculus
Cucumis melo var. makuwa,1224,2276229,2,4,8714,0,Inf,Present,Absent,Tudor,Cucumis
Cucumis sativus,1237,857154,1,2,8320,0,856094,Present,Absent,Tudor,Cucumis
Cucumispora dikerogammari,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Cucumispora
Cucurbita argyrosperma subsp. sororia,1340,588916,1,2,8036,0,588119,Present,Absent,Tudor,Cucurbita
Cucurbita maxima,1346,556929,1,2,282,0,564695,Present,Absent,Tudor,Cucurbita
Cucurbita moschata,1343,611843,1,2,8057,0,611047,Present,Absent,Tudor,Cucurbita
Cucurbita pepo subsp. pepo,1342,46344,1,2,291,0,603138,Present,Absent,Tudor,Cucurbita
Cucurbitaria berberidis CBS 394.84,1846768,74091,2,0,2423048,0,Inf,Absent,Absent,None,Cucurbitaria
Cudoniella acicularis,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Cudoniella
Culex pipiens pallens,1253004,5203475,1,0,1252417,0,39652107,Absent,Absent,None,Culex
Culex quinquefasciatus,2881815,3210960,2,0,32634863,0,50389394,Absent,Absent,None,Culex
Cunninghamella echinulata,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Cunninghamella
Curvularia kusanoi,Inf,5791,1,0,Inf,0,Inf,Absent,Absent,None,Curvularia
Cuscuta australis,1169,Inf,1,2,25754,0,Inf,Present,Absent,Tudor,Cuscuta
Cuscuta campestris,1169,Inf,1,2,297,0,Inf,Present,Absent,Tudor,Cuscuta
Cuscuta epithymum,1225,2495882,3,4,0,0,Inf,Present,Absent,Tudor,Cuscuta
Cuscuta europaea,1294,8942581,2,2,0,0,Inf,Present,Absent,Tudor,Cuscuta
Cutaneotrichosporon oleaginosum,440652,40420,2,0,2073908,0,Inf,Absent,Absent,None,Cutaneotrichosporon
Cyanidioschyzon merolae strain 10D,23038,13570,4,0,440707,0,92032,Absent,Absent,None,Cyanidioschyzon
Cyanistes caeruleus,Inf,4124,1,0,Inf,2,24,Absent,Present,PWWP,Cyanistes
Cyathus striatus,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Cyathus
Cyberlindnera fabianii,41821,46085,2,0,Inf,0,Inf,Absent,Absent,None,Cyberlindnera
Cyclospora cayetanensis,Inf,Inf,3,0,Inf,0,Inf,Absent,Absent,None,Cyclospora
Cygnus olor,Inf,3816,2,0,Inf,4,24,Absent,Present,PWWP,Cygnus
Cylicocyclus nassatus,9684447,1563418,1,0,9683433,0,1567544,Absent,Absent,None,Cylicocyclus
Cylindrobasidium torrendii FP15055 ss-10,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Cylindrobasidium
Cylindrodendrum hubeiense,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Cylindrodendrum
Cynara cardunculus var. scolymus,1275,484056,1,2,225,0,9027945,Present,Absent,Tudor,Cynara
Cynoglossus semilaevis,11653571,863,1,0,Inf,2,1204,Absent,Present,PWWP,Cynoglossus
Cyphellophora europaea CBS 101466,25607,82772,2,0,Inf,0,Inf,Absent,Absent,None,Cyphellophora
Cyphomyrmex costatus,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Cyphomyrmex
Cyprideis torosa,Inf,Inf,4,0,Inf,0,Inf,Absent,Absent,None,Cyprideis
Cyprinodon tularosa,Inf,9505,1,0,Inf,2,14247,Absent,Present,PWWP,Cyprinodon
Cyprinodon variegatus,Inf,2252,1,0,Inf,2,7004,Absent,Present,PWWP,Cyprinodon
Cyprinus carpio,Inf,1684,5,0,Inf,6,1399,Absent,Present,PWWP,Cyprinus
Cystoisospora suis,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Cystoisospora
Cytospora leucostoma,Inf,53981,1,0,Inf,0,Inf,Absent,Absent,None,Cytospora
Dacryopinax primogenitus,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Dacryopinax
Dactylella cylindrospora,45880,71506,1,0,Inf,0,Inf,Absent,Absent,None,Dactylella
Dactylellina cionopaga,777908,47229,1,0,Inf,0,Inf,Absent,Absent,None,Dactylellina
Dactylellina haptotyla CBS 200.50,Inf,107479,2,0,Inf,0,106179,Absent,Absent,None,Dactylellina
Dactylonectria estremocensis,Inf,106403,1,0,Inf,0,Inf,Absent,Absent,None,Dactylonectria
Dactylonectria macrodidyma,35505,108024,1,0,38661,0,148712,Absent,Absent,None,Dactylonectria
Daedalea quercina L-15889,Inf,111856,1,0,Inf,0,110635,Absent,Absent,None,Daedalea
Daedaleopsis nitida,174536,401515,1,0,Inf,0,Inf,Absent,Absent,None,Daedaleopsis
Daktulosphaira vitifoliae,256100,3805033,1,0,Inf,0,3811558,Absent,Absent,None,Daktulosphaira
Daldinia bambusicola,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Daldinia
Daldinia caldariorum,108872,83812,2,0,Inf,0,Inf,Absent,Absent,None,Daldinia
Daldinia childiae,2015009,81288,2,0,Inf,0,Inf,Absent,Absent,None,Daldinia
Daldinia decipiens,Inf,79036,2,0,Inf,0,Inf,Absent,Absent,None,Daldinia
Daldinia eschscholtzii,Inf,97038,1,0,Inf,0,Inf,Absent,Absent,None,Daldinia
Daldinia loculata,123299,74522,3,0,Inf,0,543521,Absent,Absent,None,Daldinia
Daldinia sp. FL1419,Inf,128397,1,0,Inf,0,Inf,Absent,Absent,None,Daldinia
Daldinia vernicosa,Inf,78998,1,0,Inf,0,Inf,Absent,Absent,None,Daldinia
Dallia pectoralis,Inf,1220,1,0,Inf,2,9100,Absent,Present,PWWP,Dallia
Danaus chrysippus,Inf,6357448,1,0,Inf,0,Inf,Absent,Absent,None,Danaus
Danaus plexippus plexippus,Inf,524483,3,0,Inf,0,Inf,Absent,Absent,None,Danaus
Danio aesculapii,Inf,3007,1,0,Inf,2,18319,Absent,Present,PWWP,Danio
Danio rerio,7260390,4317,1,0,Inf,2,3209,Absent,Present,PWWP,Danio
Danionella translucida,Inf,1196,1,0,Inf,2,8567,Absent,Present,PWWP,Danionella
Daphnia galeata,Inf,943,1,0,Inf,2,240,Absent,Present,PWWP,Daphnia
Daphnia magna,Inf,916,3,0,Inf,6,0,Absent,Present,PWWP,Daphnia
Daphnia pulex,2306256,940,2,0,Inf,4,249,Absent,Present,PWWP,Daphnia
Daphnia sinensis,Inf,914,1,0,Inf,2,243,Absent,Present,PWWP,Daphnia
Daphoenositta chrysoptera,Inf,4178,1,0,Inf,2,21,Absent,Present,PWWP,Daphoenositta
Darwinula stevensoni,Inf,1131,2,0,Inf,2,1591,Absent,Present,PWWP,Darwinula
Dasypus novemcinctus,Inf,3717,2,0,Inf,4,10729,Absent,Present,PWWP,Dasypus
Daucus carota subsp. sativus,1330,1907559,2,4,8886,0,Inf,Present,Absent,Tudor,Daucus
Delitschia confertaspora ATCC 74209,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Delitschia
Delphinella strobiligena,106324,408289,1,0,Inf,0,Inf,Absent,Absent,None,Delphinella
Dendrobium catenatum,16725859,2454040,3,0,Inf,0,Inf,Absent,Absent,None,Dendrobium
Dendrobium chrysotoxum,2959,Inf,1,2,60788,0,5778282,Present,Absent,Tudor,Dendrobium
Dendroctonus ponderosae,10214753,443968,4,0,Inf,0,443705,Absent,Absent,None,Dendroctonus
Dendrolimus kikuchii,Inf,7962161,1,0,Inf,0,Inf,Absent,Absent,None,Dendrolimus
Dendronephthya gigantea,Inf,852690,1,0,Inf,0,850657,Absent,Absent,None,Dendronephthya
Dendrothele bispora CBS 962.96,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Dendrothele
Dendryphion nanum,425696,417037,1,0,837692,0,Inf,Absent,Absent,None,Dendryphion
Denticeps clupeoides,Inf,1312,1,0,Inf,2,317,Absent,Present,PWWP,Denticeps
Dentipellis fragilis,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Dentipellis
Dentipellis sp. KUC8613,Inf,463587,1,0,Inf,0,Inf,Absent,Absent,None,Dentipellis
Dentiscutata erythropus,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Dentiscutata
Dermacentor andersoni,Inf,140454,1,0,Inf,2,454167,Absent,Present,PWWP,Dermacentor
Dermatophagoides farinae,4343880,182936,3,0,7128382,0,4419543,Absent,Absent,None,Dermatophagoides
Dermatophagoides pteronyssinus,Inf,112155,3,0,Inf,0,372372,Absent,Absent,None,Dermatophagoides
Desarmillaria ectypa,521381,18399,1,0,Inf,0,400988,Absent,Absent,None,Desarmillaria
Desmodus rotundus,Inf,3728,1,0,Inf,2,10950,Absent,Present,PWWP,Desmodus
Desmophyllum pertusum,Inf,11415,2,0,Inf,0,21918,Absent,Absent,None,Desmophyllum
Diabrotica balteata,Inf,27317876,1,0,Inf,0,7757945,Absent,Absent,None,Diabrotica
Diabrotica virgifera virgifera,Inf,61874136,2,0,Inf,0,10186443,Absent,Absent,None,Diabrotica
Diachasma alloeum,Inf,488650,2,0,Inf,0,Inf,Absent,Absent,None,Diachasma
Diacronema lutheri,228360,101562,1,0,Inf,0,1578239,Absent,Absent,None,Diacronema
Diaphorina citri,Inf,7050855,4,0,Inf,0,7047690,Absent,Absent,None,Diaphorina
Diaporthaceae sp. PMI_573,405345,63978,1,0,501885,0,Inf,Absent,Absent,None,Diaporthaceae
Diaporthe ampelina,Inf,61135,1,0,Inf,0,Inf,Absent,Absent,None,Diaporthe
Diaporthe amygdali,568913,94020,2,0,571749,0,156990,Absent,Absent,None,Diaporthe
Diaporthe batatas,242141,59298,2,0,1582806,0,Inf,Absent,Absent,None,Diaporthe
Diaporthe eres,Inf,379881,1,0,Inf,0,Inf,Absent,Absent,None,Diaporthe
Diaporthe helianthi,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Diaporthe
Diaporthe ilicicola,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Diaporthe
Diatraea saccharalis,Inf,1175744,1,0,Inf,0,Inf,Absent,Absent,None,Diatraea
Dibothriocephalus latus,Inf,Inf,3,0,Inf,0,Inf,Absent,Absent,None,Dibothriocephalus
Dicaeum eximium,Inf,4118,1,0,Inf,2,21,Absent,Present,PWWP,Dicaeum
Dicentrarchus labrax,3473226,963,2,0,Inf,4,0,Absent,Present,PWWP,Dicentrarchus
Diceros bicornis minor,Inf,3635,1,0,Inf,2,11022,Absent,Present,PWWP,Diceros
Dichanthelium oligosanthes,1014,Inf,1,2,9520,0,Inf,Present,Absent,Tudor,Dichanthelium
Dichomitus squalens,41982,151591,3,0,Inf,0,Inf,Absent,Absent,None,Dichomitus
Dichomitus squalens LYAD-421 SS1,Inf,311100,1,0,Inf,0,Inf,Absent,Absent,None,Dichomitus
Dicrurus megarhynchus,Inf,4196,1,0,Inf,2,21,Absent,Present,PWWP,Dicrurus
Dictyocaulus viviparus,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Dictyocaulus
Dictyocoela muelleri,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Dictyocoela
Dictyostelium purpureum,Inf,8891,1,0,Inf,0,Inf,Absent,Absent,None,Dictyostelium
Didymella exigua CBS 183.55,Inf,35092,2,0,Inf,0,Inf,Absent,Absent,None,Didymella
Didymella glomerata,30033,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Didymella
Didymella heteroderae,Inf,91892,1,0,Inf,0,Inf,Absent,Absent,None,Didymella
Didymella pomorum,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Didymella
Didymella sp. IMI 355093,Inf,44015,1,0,Inf,0,45056,Absent,Absent,None,Didymella
Didymodactylos carnosus,Inf,Inf,4,0,Inf,0,Inf,Absent,Absent,None,Didymodactylos
Didymosphaeria enalia,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Didymosphaeria
Didymosphaeria variabile,23004,1853634,2,0,Inf,0,1850911,Absent,Absent,None,Didymosphaeria
Digitaria exilis,984,597389,2,4,303,0,Inf,Present,Absent,Tudor,Digitaria
Dimargaris cristalligena,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Dimargaris
Dimargaris verticillata,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Dimargaris
Dimargaris xerosporica,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Dimargaris
Dimorphilus gyrociliatus,Inf,1235,1,0,Inf,2,5354,Absent,Present,PWWP,Dimorphilus
Dinoponera quadriceps,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Dinoponera
Dinothrombium tinctorium,Inf,747,1,0,Inf,2,3869,Absent,Present,PWWP,Dinothrombium
Dioscorea alata,2846,2255273,3,6,0,0,7753657,Present,Absent,Tudor,Dioscorea
Dioscorea cayenensis subsp. rotundata,2828,2304188,2,2,231,0,2300822,Present,Absent,Tudor,Dioscorea
Dioscorea zingiberensis,1331,3892342,1,2,9761,0,4741326,Present,Absent,Tudor,Dioscorea
Diospyros lotus,1162,2496973,1,2,276,0,6480343,Present,Absent,Tudor,Diospyros
Dioszegia hungarica,401988,5499,4,0,734564,0,1248465,Absent,Absent,None,Dioszegia
Diphasiastrum complanatum,10236,3652167,8,14,0,0,3645948,Present,Absent,Tudor,Diphasiastrum
Diplocarpon mali,24372,24032,1,0,Inf,0,Inf,Absent,Absent,None,Diplocarpon
Diplocarpon rosae,104923,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Diplocarpon
Diplodia corticola,359511,528192,2,0,Inf,0,Inf,Absent,Absent,None,Diplodia
Diplodia seriata,172400,87458,2,0,Inf,0,Inf,Absent,Absent,None,Diplodia
Diplonema papillatum,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Diplonema
Diploptera punctata,Inf,22902,1,0,Inf,2,63238,Absent,Present,PWWP,Diploptera
Diploscapter pachys,Inf,Inf,5,0,Inf,0,Inf,Absent,Absent,None,Diploscapter
Diploschistes diacapsis,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Diploschistes
Dipodomys spectabilis,Inf,1835,1,0,Inf,2,9757,Absent,Present,PWWP,Dipodomys
Diprion similis,4190751,844524,1,0,13148565,0,3960544,Absent,Absent,None,Diprion
Dipsacomyces acuminosporus,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Dipsacomyces
Dirofilaria immitis,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Dirofilaria
Dispira parvispora,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Dispira
Dispira simplex,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Dispira
Dissoconium aciculare CBS 342.82,59193,526492,2,0,304926,0,601063,Absent,Absent,None,Dissoconium
Dissophora globulifera,11941,Inf,3,0,Inf,0,Inf,Absent,Absent,None,Dissophora
Dissophora ornata,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Dissophora
Dissostichus eleginoides,Inf,2252,1,0,Inf,2,1135,Absent,Present,PWWP,Dissostichus
Ditylenchus destructor,3077725,1214425,2,0,Inf,0,1223043,Absent,Absent,None,Ditylenchus
Diuraphis noxia,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Diuraphis
Diutina rugosa,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Diutina
Diversispora eburnea,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Diversispora
Diversispora epigaea,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Diversispora
Donacobius atricapilla,Inf,4125,1,0,Inf,2,21,Absent,Present,PWWP,Donacobius
Dothideales sp. JES 119,169487,223706,1,0,Inf,0,Inf,Absent,Absent,None,Dothideales
Dothistroma septosporum NZE10,812780,25207,1,0,Inf,0,849656,Absent,Absent,None,Dothistroma
Dracunculus medinensis,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Dracunculus
