Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Annotation BUSCO Complete 	Annotation BUSCO Single Copy 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Missing 	Annotation BUSCO Lineage 	Assembly Sequencing Tech	Assembly Submitter	Assembly BioProject Accession	Assembly BioSample Accession	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene	Annotation Count Gene Non-coding
GCA_009905375.1	ASM990537v1	Apium graveolens			Ventura				Annotation submitted by North China University of Science and Technology	3332577507	Chromosome	1/28/20	WRXP01	790578	289786985							Illumina; PacBio; HiC; 10x	North China University of Science and Technology	PRJNA593940	SAMN13496595	1660	1660		
GCA_004353265.1	EGFV_Vit.rip_1.0	Vitis riparia			Riparia Gloire de Montpellier		1030			500105807	Chromosome	4/16/19	SJAQ01	740110	23918791							Illumina HiSeq; PacBio RSII; 10X Chromium Genomics	Bordeaux University	PRJNA512170	SAMN10662253				
GCA_001522545.3	Parus_major1.1	Parus major					Abel	male		1020293992	Chromosome	1/15/19	JRXK01	148693	71365269							Illumina HiSeq	"Animal Breeding and Genomics Centre, Wageningen University"	PRJNA208335	SAMN03083587				
GCA_001879085.1	NIATTr2	Nicotiana attenuata		UT					Annotation submitted by Max Planck Institute for Chemical Ecology	2365682703	Chromosome	11/15/16	MJEQ01	64201	524499							Illumina HiSeq; 454; PacBio	Max Planck Institute for Chemical Ecology	PRJNA316810	SAMN04590212	33320	33320		
GCA_000003815.2	Bfl_VNyyK	Branchiostoma floridae		S238N-H82				male		513445848	Chromosome	4/29/20	ABEP03	50413	25441410							Sanger; Illumina	DOE Joint Genome Institute	PRJNA20249	SAMN02953694				
GCA_001194135.2	ASM119413v2	Octopus bimaculoides					UCB-OBI-ISO-001	male		2342518435	Chromosome	10/6/22	LGKD02	5523	96881196							HiC	UC Berkeley	PRJNA270931	SAMN03271701				
GCA_910594005.1	mCerEla1.1	Cervus elaphus								2886603524	Chromosome	7/7/21	CAJVBL01	68741660	83473711								WELLCOME SANGER INSTITUTE	PRJEB45838	SAMEA7523520				
GCA_023897955.2	iqSchGreg1.2	Schistocerca gregaria					iqSchGreg1	male		8742418402	Chromosome	6/24/22	JAKZLS01	44584537	791150472							PacBio Sequel	United States Department of Agriculture	PRJNA782545	SAMN23383904				
GCA_024166365.1	mEleMax1 primary haplotype	Elephas maximus indicus					mEleMax1	male		3401247148	Chromosome	7/6/22	JAMZQU01	87987108	127432672							PacBio Sequel II HiFi; Bionano optical mapping; Arima HiC	Vertebrate Genomes Project	PRJNA850184	SAMN29174328				
GCA_000209165.1	ASM20916v1	Scheffersomyces stipitis CBS 6054		CBS 6054					Annotation submitted by DOE Joint Genome Institute	15441179	Chromosome	2/26/07	AAVQ01	1803401	1841851								DOE Joint Genome Institute	PRJNA16843	SAMN02746101	5819	5818		1
GCA_000006355.3	GCA_000006355.2	Plasmodium knowlesi strain H		H					Annotation submitted by Wellcome Trust Sanger Institute	24359384	Chromosome	2/24/20	CADCXE01	807908	2162603								Wellcome Trust Sanger Institute	PRJEA28803	SAMEA2272753	5501	5326	12	162
GCA_000002845.2	ASM284v2	Leishmania braziliensis MHOM/BR/75/M2904		MHOM/BR/75/M2904					Annotation submitted by The Sanger Institute	32068771	Chromosome	11/7/11	CADA01	63680	992961								The Sanger Institute	PRJEA18663	SAMEA2272271	8468	8160	202	103
GCA_949782905.1	mRanTar1.h1.1	Rangifer tarandus platyrhyncus							Annotation submitted by EBP Norway	2971153391	Chromosome	4/20/23	CATKSN02	22482685	69829200							"PACBIO_SMART, ILLUMINA"	EBP Norway	PRJEB60852	SAMEA112840270	32680	32656		24
GCA_021130785.2	UT_GWSS_2.1	Homalodisca vitripennis					AUS2020	pooled male and female		2304988238	Chromosome	1/26/22	JAJKGG02	168834166	168834166							PacBio	University of Texas at Austin	PRJNA776266	SAMN22783162				
GCA_028885625.1	NHGRI_mPonPyg2-v1.1-hic.freeze_pri	Pongo pygmaeus					AG05252	male		3249335160	Chromosome	2/28/23	JAQQLS01	90555683	140977933							PacBio Sequel; Oxford Nanopore PromethION	"National Human Genome Research Institute, National Institutes of Health"	PRJNA916742	SAMN10521809				
GCA_028885655.1	NHGRI_mPonAbe1-v1.1-hic.freeze_pri	Pongo abelii					AG06213	male		3365490689	Chromosome	2/28/23	JAQQLQ01	71635981	137042698							PacBio Sequel; Oxford Nanopore PromethION	"National Human Genome Research Institute, National Institutes of Health"	PRJNA916743	SAMN10521808				
GCA_016161935.1	ASM1616193v1	Mauremys reevesii					NIE-2019	female		2367590653	Chromosome	12/22/20	JADWOL01	33352699	130473029							Oxford Nanopore; Illumina	Anhui normal university	PRJNA663192	SAMN16454374				
GCA_004382145.1	ASM438214v1	Drosophila mauritiana		mau12				male		152298302	Chromosome	4/16/19	NIGA01	22120385	24228064							PacBio	"University of California, Irvine"	PRJNA383250	SAMN06827991				
GCA_004382195.2	ASM438219v2	Drosophila sechellia		sech25				male		153084571	Chromosome	4/16/19	NIFZ01	19907079	24956976							PacBio	"University of California, Irvine"	PRJNA383250	SAMN06827992				
GCA_015852505.1	mTacAcu1.pri	Tachyglossus aculeatus					mTacAcu1	male		2213004214	Chromosome	12/9/20	JADRJE01	19859057	63379719							PacBio Sequel I CLR; Illumina NovaSeq; Bionano Genomics DLS; Phase Genomics	Vertebrate Genomes Project	PRJNA607237	SAMN12634963				
GCA_943734685.1	AcolN3	Anopheles coluzzii								262602229	Chromosome	6/24/22	CALSDT01	18767309	95248607								WELLCOME SANGER INSTITUTE	PRJEB53268	SAMEA12928211				
GCA_900964775.1	fSclFor1.1	Scleropages formosus								784546363	Chromosome	4/11/19	CAAHFQ01	9102216	31084684								SC	PRJEB31995	SAMEA4872123				
GCA_027563975.1	ilPloInte3.1	Plodia interpunctella					USDA-ARS_2022_Savannah	male		291316876	Chromosome	1/9/23	JAOPHU01	7837045	10311656							PacBio Sequel	United States Department of Agriculture	PRJNA782555	SAMN23384295				
GCA_905220365.1	ilVanCard2.1	Vanessa cardui								424798336	Chromosome	2/16/21	CAJMZP01	7041724	14615999								WELLCOME SANGER INSTITUTE	PRJEB42869	SAMEA7523147				
GCA_010183535.1	CRPX506	Caenorhabditis remanei		PX506				pooled males and females	Annotation submitted by University of Oregon	130466896	Chromosome	2/10/20	WUAV01	4042385	21501900							PacBio; Illumina HiSeq	University of Oregon	PRJNA577507	SAMN13028143	26332	26189	119	24
GCA_004837865.1	BananaB_V1	Musa balbisiana					DH-PKW		Annotation submitted by Institute of Tropical Bioscience and Biotechnology	492775286	Chromosome	7/9/19	PYDT01	1964734	41415055							PacBio Sequel	Institute of Tropical Bioscience and Biotechnology	PRJNA432894	SAMN08469760	35148	33021	2127	
GCA_013373865.2	ASM1337386v2	Monomorium pharaonis					MP-MQ-018	female		325506644	Chromosome	8/14/20	JABXFI02	1861574	29663535							PacBio Sequel	BGI	PRJNA634441	SAMN15097795				
GCA_008729295.2	YSFRI_Pleo_2.0	Plectropomus leopardus					mb			895688574	Chromosome	5/27/20	VJNF02	897070	33285428							PacBio	"Yellow Sea Fisheries Research Institute, Chinese Academy of Fishery Sciences"	PRJNA545594	SAMN11897347				
GCA_003604175.2	CSKR.v2	Clonorchis sinensis					Cs-k2		Annotation submitted by The University of Melbourne	558124894	Chromosome	4/12/21	NIRI02	838796	168711085							HiC and Oxford Nanopore	The University of Melbourne	PRJNA386618	SAMN07109486	13489	13489		
GCA_009739505.2	ASM973950v2	Apolygus lucorum					12Hb		Annotation submitted by Agricultural Genomics Institute at Shenzhen	1023618409	Chromosome	9/2/20	WIXP02	783891	68132828							PacBio Sequel	Agricultural Genomics Institute at Shenzhen	PRJNA526332	SAMN11095929	20353	20111	242	
GCA_001298625.1	SEUB3.0	Saccharomyces eubayanus		FM1318					Annotation submitted by University of Wisconsin-Madison	11670174	Chromosome	11/4/15	JMCK01	197643	896107							Illumina HiSeq; Illumina MiSeq	University of Wisconsin-Madison	PRJNA243390	SAMN02716114	5687	5379		308
GCA_005281545.1	ASM528154v1	Epinephelus lanceolatus					Andai001	female		1087399367	Chromosome	5/13/19	SZWH01	159800	46227939							Illumina HiSeq; BGISEQ-500	"Yellow Sea Fisheries Research Institute, Chinese Academy of Fishery Sciences"	PRJNA516312	SAMN10786578				
GCA_002162155.3	WEW_v2.1	Triticum dicoccoides				Zavitan	Atlit2015			10677097747	Chromosome	2/4/19	LSYQ02	57368	747227478							Illumina HiSeq	WEWseq consortium	PRJNA310175	SAMN04448013				
GCA_000817695.3	aradu.V14167.gnm2.J7QH	Arachis duranensis			V14167					1081735204	Chromosome	9/21/20	JQIN02	24723	108052799							Illumina HiSeq; Moleculo long reads	The International Peanut Genome Initiative	PRJNA258023	SAMN02982871				
GCA_001531365.2	CcrdV1.1	Cynara cardunculus var. scolymus					2C		Annotation submitted by Compositae Genome Project	724962400	Chromosome	4/17/18	LEKV01	19407	126020							Illumina HiSeq	Compositae Genome Project	PRJNA238069	SAMN03402638	26498	26498		
GCA_001672515.1	ASM167251v1	Colletotrichum higginsianum IMI 349063		IMI 349063					Annotation submitted by GATC Biotech AG	50716103	Chromosome	6/21/16	LTAN01	5201688	5201688							PacBio P5-C3 chemistry	GATC Biotech AG	PRJNA47061	SAMN04420120	14651	14651		
GCA_000303195.2	FP7	Fusarium pseudograminearum CS3096		CS3096					Annotation submitted by CSIRO	36863345	Chromosome	4/15/15	AFNW01	188196	8840934							Illumina GA; Illumina GAIIx	CSIRO	PRJNA66583	SAMN02981337	12447	12447		
GCA_027475565.2	VMU_Ajub_asm_v1.0	Acinonyx jubatus					Ajub_Pintada_27869175	female		2377417351	Chromosome	12/28/22	JANJSO01	96827784	144444042							PacBio	University of Veterinary Medicine	PRJNA854353	SAMN29432198				
GCA_023525745.1	ASM2352574v1	Arctium lappa			niubang	Longdong	Gansu		"Annotation submitted by Agricultural Genomics Institute at Shenzhen, Chinese Academy of Agricultural Sciences"	1727363248	Chromosome	5/24/22	JAKOEK01	74692580	91023879							PacBio HiFi	"Agricultural Genomics Institute at Shenzhen, Chinese Academy of Agricultural Sciences"	PRJNA764011	SAMN21465952	46935	40570	6365	
GCA_018345385.1	ASM1834538v1	Vulpes lagopus		Blue_001				female		2345533697	Chromosome	5/12/21	JADWOQ01	33460300	131537142							PacBio Sequel; Illumina NovaSeq	Hebei Normal University of Science and Technology	PRJNA678849	SAMN16815335				
GCA_030020395.1	mManPen7.hap1	Manis pentadactyla					mManPen7	male		2840164579	Chromosome	5/23/23	JASFZP01	25547713	149551276							PacBio Sequel II HiFi; Dovetail OmniC	Vertebrate Genomes Project	PRJNA924339	SAMN32757332				
GCA_016920715.1	AaraD3	Anopheles arabiensis					DONGOLA	male		256807969	Chromosome	3/10/21	JADFTQ01	23935993	95710210							Oxford Nanopore MinION	Virginia Tech	PRJNA634549	SAMN14999448				
GCA_011004845.1	fEsoLuc1.pri	Esox lucius					fEsoLuc1			918731919	Chromosome	3/5/20	JAAIYR01	22630263	37473588							PacBio Sequel; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS	Vertebrate Genomes Project	PRJNA561977	SAMN12623624				
GCA_911865555.2	T_arvense_v2	Thlaspi arvense							Annotation submitted by ecSeq Bioinformatics GmbH	525555146	Chromosome	3/23/22	CAJVSB02	19163508	65520834								ecSeq Bioinformatics GmbH	PRJEB46635	SAMEA9464733	26392	26392		
GCA_018139145.2	ASM1813914v2	Gymnogyps californianus					813	female		1240248578	Chromosome	9/1/22	JAGKTE02	17075888	85355094							PacBio RSII; Phase Genomics HiC	University of California San Francisco	PRJNA718609	SAMN18477433				
GCA_921293095.1	ioIscEleg1.1	Ischnura elegans								1722738530	Chromosome	12/5/21	CAKLCU01	13055916	123641648								WELLCOME SANGER INSTITUTE	PRJEB49079	SAMEA7521125				
GCA_000231095.3	ObraRS2	Oryza brachyantha								263195077	Chromosome	3/10/21	AGAT02	11392507	11392507							PacBio	The Institute of Genetics and Developmental Biology	PRJNA70533	SAMN02981362				
GCA_022682495.1	HLdesRot8A	Desmodus rotundus					HL8	male		2113473284	Chromosome	3/24/22	JAKFFZ01	6762714	160127860							PacBio Sequel; Illumina NovaSeq	Bat1K	PRJNA789528	SAMN24116476				
GCA_905171775.1	aRanTem1.1	Rana temporaria								4111422596	Chromosome	1/28/21	CAJIMO01	6264810	481763206								Wellcome Sanger Institute	PRJEB42171	SAMEA7521635				
GCA_945859705.1	idEpiBalt1.1	Episyrphus balteatus								535345329	Chromosome	9/13/22	CAMAOR01	5909399	133640122								WELLCOME SANGER INSTITUTE	PRJEB54851	SAMEA7520035				
GCA_021347895.1	KAUST_Apoly_ChrSc	Acanthochromis polyacanthus				Palm Island	Apoly-LR-REF			956771783	Chromosome	1/11/22	JAEMOU01	5524274	41709588							PacBio RSII; Hi-C	King Abdullah University of Science and Technology	PRJNA671567	SAMN16534234				
GCA_016086655.3	UVic_Lsal_1.2	Lepeophtheirus salmonis					Lsal2020	female		647176227	Chromosome	12/16/20	JADKYV01	4499712	48457437							Oxford Nanopore MinION; Illumina	University of Victoria	PRJNA673901	SAMN16628719				
GCA_021234035.2	SC_F0-13Bv2	Daphnia pulicaria					SC F1-1A			185057732	Chromosome	1/11/22	JAJAGA01	3523768	18885472							PacBio Sequel; Illumina HiSeq	University of Oklahoma	PRJNA762352	SAMN21387128				
GCA_947568905.1	xbOstEdul1.1	Ostrea edulis								894786893	Chromosome	12/16/22	CANOQP01	2427391	94306699							"PacBio,Arima2"	WELLCOME SANGER INSTITUTE	PRJEB58207	SAMEA12219414				
GCA_023373465.1	Oket_V2	Oncorhynchus keta		PuntledgeMale-10-30-2019				male		2556461070	Chromosome	5/16/22	JAJNGS01	2022835	2025324							Oxford Nanopore MinION; Illumina HiSeq	Fisheries and Oceans Canada	PRJNA669401	SAMN16447169				
GCA_010389155.1	C_canadensis_v1	Erigeron canadensis					Cc75			426223753	Chromosome	2/11/20	WJPJ01	1620735	45539152							PacBio; Illumina; Hi-C	Agriculture and Agrifood Canada	PRJNA586872	SAMN13170886				
GCA_019321725.1	Paulownia fortunei Genome V1.0	Paulownia fortunei					PF2021		Annotation submitted by Henan Agricultural university	511771795	Chromosome	7/22/21	JAGSPU01	852400	22146478							PacBio Sequel; Illumina HiSeq	Henan Agricultural university	PRJNA624264	SAMN14572878	31673	31673		
GCA_022539595.1	ASM2253959v1	Amphiprion ocellaris				Okinawa	individual 3	male		863468154	Chromosome	3/10/22	JAJUWX01	812338	36880113							PacBio Sequel	Okinawa Institute of Science and Technology	PRJNA787397	SAMN23798798				
GCA_018290095.1	Pv_5.2	Polypedilum vanderplanki					NIAS01	pooled male and female	Annotation submitted by National Agriculture and Food Research Organization	118968711	Chromosome	5/13/21	JADBJN01	219078	35209052							Illumina HiSeq; PacBio RS	National Agriculture and Food Research Organization	PRJNA660906	SAMN15963333	17863	17863		
GCA_023119035.1	UniMelb_Shisp_WGS_1.0	Salvia hispanica			TCC Black 2014					321318253	Chromosome	4/29/22	JALPBU01	116000	53190533							Illumina NovaSeq; Oxford Nanopore MinION	University of Melbourne	PRJNA830713	SAMN27737700				
GCA_021288785.3	ASM2128878v3	Mirounga angustirostris					JK_09032017			2366166981	Chromosome	12/21/22	JAJSZF01	76189	139676048							Illumina NovaSeq 6000	DNA Zoo	PRJNA512907	SAMN13072016				
GCA_900059795.1	AUK_PRJEB4211_v1	Coffea canephora		DH200=94					Annotation submitted by Genoscope CEA	568611505	Chromosome	8/21/14	CBUE02	49589	1260636								Genoscope CEA	PRJEB4211	SAMEA3146290	25574	25574		
GCA_912172775.2	Fraxinus pennsylvanica genome version 1.5	Fraxinus pennsylvanica							Annotation submitted by UNIVERSITY OF TENNESSEE- KNOXVILLE	756791288	Chromosome	5/17/23	CAJVVE02	16779	33221578							Illumina	UNIVERSITY OF TENNESSEE- KNOXVILLE	PRJEB46894	SAMEA6544803	35469	35469		
GCA_023634155.1	bFalPer1.pri	Falco peregrinus					bFalPer1	female		1311580791	Chromosome	6/2/22	JAMOAR01	15744644	93682670							PacBio Sequel II HiFi; Arima Genomics Hi-C; Bionano Genomics DLS	Vertebrate Genomes Project	PRJNA842834	SAMN28688290				
GCA_015227805.3	bHirRus1.pri.v3	Hirundo rustica					bHirRus1	female		1105955550	Chromosome	11/30/21	JADDRP03	2794774	76187387							PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS	Vertebrate Genomes Project	PRJNA636192	SAMN14675488				
GCA_016509475.2	Fcat_Pben_1.1_paternal_pri	Prionailurus bengalensis					Pbe53	male		2435702060	Chromosome	1/6/21	JADZGN01	82622880	148587958							PacBio	Texas A&M University	PRJNA682572	SAMN16486448				
GCA_029289425.1	NHGRI_mPanPan1-v1.1-0.1.freeze_pri	Pan paniscus						male		3271621005	Chromosome	3/20/23	JARIFH01	141811947	141811947							PacBio Sequel; Oxford Nanopore PromethION	"National Human Genome Research Institute, National Institutes of Health"	PRJNA942951	SAMN13935689				
GCA_021730395.1	MADL_Memer_1	Mercenaria mercenaria		notata						1858199728	Chromosome	2/1/22	JAIXLV01	82432825	82914371							Pacbio Sequel II; Illumina HiSeq; PacBio Sequel	Stony Brook University	PRJNA638823	SAMN15214339				
GCA_025413875.1	RHMOLv1	Rhododendron molle					AT1		Annotation submitted by Ori-Gene Co. Ltd.	652158357	Chromosome	9/28/22	JAKSEO01	44852950	52635490							Oxford Nanopore PromethION	Ori-Gene Co. Ltd.	PRJNA804375	SAMN25819031	40578	40021		557
GCA_947179165.2	daSolDulc1.2	Solanum dulcamara								946304905	Chromosome	12/6/22	CAMXBZ02	44229464	80040668							"PacBio,Illumina,Arima"	WELLCOME SANGER INSTITUTE	PRJEB56942	SAMEA7522044				
GCA_943734665.1	idAnoAquaMG_Q_19	Anopheles aquasalis								176573000	Chromosome	6/24/22	CALSDQ01	38496358	90077004								WELLCOME SANGER INSTITUTE	PRJEB53270	SAMEA12928206				
GCA_914725855.1	fThuAlb1.1	Thunnus albacares								792101331	Chromosome	9/16/21	CAJZAX01	26795544	34622995								WELLCOME SANGER INSTITUTE	PRJEB47267	SAMEA8654749				
GCA_029227915.2	HSymV2.1	Hydractinia symbiolongicarpus		clone_291-10				male		480922349	Chromosome	6/5/23	JARBIS02	25832406	33314500							PacBio Sequel	University of Vienna	PRJNA935535	SAMN33320524				
GCA_902362185.1	fChaCha1.1	Chanos chanos								656912816	Chromosome	8/14/19	CABIVN01	23134051	50300218								SC	PRJEB33882	SAMEA5159473				
GCA_023634085.1	bFalChe1.pri	Falco cherrug					bFalChe1	female		1309366964	Chromosome	6/2/22	JAMOAL01	21245687	92426045							PacBio Sequel II HiFi; Arima Genomics Hi-C; Bionano Genomics DLS	Vertebrate Genomes Project	PRJNA842831	SAMN28688204				
GCA_023653815.1	GSC_CCare_1.0	Caretta caretta					SJ_126:Eziel1	female		2133995980	Chromosome	6/7/22	JAMOIO01	18214114	130956235							Illumina NovaSeq; Oxford Nanopore PromethION	Canada's Genomic Enterprise	PRJNA826225	SAMN27958248				
GCA_020382885.1	fScaArg1.pri	Scatophagus argus					fScaArg1			570785501	Chromosome	10/13/21	JAIZDN01	17189422	24451451							PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS	G10K	PRJNA749579	SAMN12623616				
GCA_012275295.1	bMelUnd1.mat.Z	Melopsittacus undulatus					bMelUnd1	female		1171617451	Chromosome	4/13/20	JAAVWG01	16636420	104092594							PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS	G10K	PRJNA612327	SAMN12623090				
GCA_003957555.2	bCalAnn1_v1.p	Calypte anna					BGI_N300	female		1059687259	Chromosome	5/17/19	RRCD01	14522327	74081004							PacBio RSII; 10X Genomics linked reads; Bionano Genomics DLS; Arima Genomics HiC	Vertebrate Genomes Project	PRJNA489139	SAMN02265252				
GCA_006542625.1	Asia_NLE_v1	Nomascus leucogenys					Asia	female		2843966406	Chromosome	7/2/19	VIFL01	12782853	35886894							PacBio; Illumina	University of Washington	PRJNA369439	SAMN11124083				
GCA_030435755.1	mOchPri1.hap1	Ochotona princeps					mOchPri1	male		2555444530	Chromosome	7/13/23	JAUDYK01	12191025	73962893							PacBio Sequel II HiFi; Arima Hi-C v2	Vertebrate Genomes Project	PRJNA986273	SAMN35822658				
GCA_019457755.1	ASM1945775v1	Venturia canescens					UGA	female		290760430	Chromosome	8/9/21	JAHMHP01	11235615	24994491							PacBio	USDA-ARS	PRJNA736740	SAMN19659032				
GCA_018902025.2	UCI_dwil_1.1	Drosophila willistoni					14030-0811.24	pooled male and female		246985538	Chromosome	6/16/21	JAFEWB01	9079863	9374611							PacBio RS; Illumina	University of California Irvine	PRJNA670571	SAMN16513131				
GCA_024362695.1	ilPecGoss1.1	Pectinophora gossypiella						female		476494545	Chromosome	7/22/22	JAMDNT01	8257054	16702263							PacBio Sequel II CLR; Illumina NovaSeq	United States Department of Agriculture	PRJNA804955	SAMN25818887				
GCA_013358815.1	fEleEle1.pri	Electrophorus electricus					fEleEle1			589358956	Chromosome	6/23/20	JABVME01	7062559	25664172							PacBio Sequel I CLR; llumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS	Vertebrate Genomes Project	PRJNA561981	SAMN12623625				
